"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.592233009708738","0.04284924322156657","0.3857677902621723","0.44166666666666665","16","6","false","-1.05665283411616","PVALB","13.0","0","16","0","0.9486376448481052","true","0","PVALB","3056","0.2682291666666667"
"2.854368932038835","0.041277244446861816","0.35034013605442177","0.2857142857142857","7","6","false","1.12496594161475","OTX2","11.428571428571429","0","7","0","0.940181647353586","true","0","OTX2","1728","0.3235294117647059"
"3.8446601941747574","0.0","0.2601010101010101","0.0","1","7","false","-1.05595093555185","ATOH7","7.0","0","1","0","0.9082367679298465","true","0","ATOH7","0","0.0"
"5.41747572815534","0.0","0.18458781362007168","0.0","1","9","false","-1.24550241982421","SOWAHB","2.0","0","1","0","0.857500782962731","true","0","SOWAHB","0","0.0"
"3.4563106796116503","0.057490957548067774","0.28932584269662925","0.0","3","7","false","-1.20554985184352","KRT5","6.0","0","3","0","0.9207641716254307","true","0","KRT5","2704","0.3333333333333333"
"4.427184466019417","0.01941747572815534","0.22587719298245615","0.0","2","8","false","1.13208206509593","ASCL3","2.0","0","2","0","0.8894456623864704","true","0","ASCL3","904","0.5"
"2.0776699029126213","0.1493701087244818","0.48130841121495327","0.2733333333333333","25","5","false","-1.12907936162462","BDNF","12.6","0","25","0","0.9652364547447542","true","0","BDNF","8852","0.16578947368421051"
"2.29126213592233","0.016438105488806767","0.4364406779661017","0.5714285714285714","14","5","false","-1.36856363595289","PENK","16.214285714285715","0","14","0","0.9583463827121829","true","0","PENK","1650","0.23844537815126052"
"2.8155339805825244","2.2264459510972398E-4","0.35517241379310344","0.8","5","6","false","1.09799153213052","RLN3","15.8","0","5","0","0.9414343877231444","true","0","RLN3","34","0.4514285714285714"
"2.2135922330097086","0.03859603975382552","0.4517543859649123","0.45751633986928103","18","5","false","-1.50601087294385","TAC1","14.61111111111111","0","18","0","0.9608518634512997","true","0","TAC1","3170","0.20873015873015874"
"2.825242718446602","0.022573674347718328","0.3539518900343642","0.3333333333333333","7","6","false","1.01793884773684","GHRHR","11.428571428571429","0","7","0","0.9411212026307547","true","0","GHRHR","1304","0.30952380952380953"
"2.0388349514563107","0.22917396669161982","0.49047619047619045","0.2336182336182336","27","5","false","-1.40517829857584","SST","11.814814814814815","0","27","0","0.9664891951143126","true","0","SST","11372","0.15765765765765766"
"2.3883495145631066","0.023643745025433947","0.41869918699187","0.46405228758169936","18","5","false","-1.7297361628687","CRH","13.666666666666666","0","18","0","0.9552145317882869","true","0","CRH","2094","0.24848484848484848"
"2.737864077669903","0.011185610383482357","0.3652482269503546","0.5111111111111111","10","6","false","-1.1316165264159","GRP","12.6","0","10","0","0.9439398684622612","true","0","GRP","920","0.3"
"2.466019417475728","0.0844467659398672","0.4055118110236221","0.39215686274509803","18","6","false","-1.16213436458313","SLC32A1","12.055555555555555","0","18","0","0.95270905104917","true","0","SLC32A1","5006","0.23529411764705882"
"2.6990291262135924","0.0030841929502094956","0.37050359712230213","0.6111111111111112","9","6","false","-1.40765172549017","ADCYAP1","15.777777777777779","0","9","0","0.9451926088318197","true","0","ADCYAP1","278","0.34299516908212563"
